Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
583.9741821,0.004432345275,,,583.9741821,0.0010765068,583.9741821,0.001086679404,583.9741821,0.001173285884,
582.9332886,0.004348380957,,,582.9332886,0.0009997009765,582.9332886,0.0009474236867,582.9332886,0.0008503576973,
582.0409546,0.004361715633,,,582.0409546,0.001111021964,582.0409546,0.001003904152,582.0409546,0.0009448553901,
580.9995728,0.004707755521,,,580.9995728,0.001455882913,580.9995728,0.001181903412,580.9995728,0.001120209112,
579.9579468,0.004667642061,,,579.9579468,0.00133530749,579.9579468,0.001097838394,579.9579468,0.001033950481,
579.0648804,0.004709011875,,,579.0648804,0.001121714362,579.0648804,0.001105753705,579.0648804,0.001128358417,
578.0227051,0.004723614082,,,578.0227051,0.001321779564,578.0227051,0.00116004853,578.0227051,0.00119929458,
576.9802856,0.00477943616,,,576.9802856,0.001349069527,576.9802856,0.001219905331,576.9802856,0.001090338454,
575.9376221,0.004605424125,,,575.9376221,0.001249577268,575.9376221,0.001139492495,575.9376221,0.001142399386,
575.0436401,0.004867829382,,,575.0436401,0.001486869645,575.0436401,0.00130155345,575.0436401,0.001170456759,
574.0004272,0.004977449309,,,574.0004272,0.00153565302,574.0004272,0.001254172297,574.0004272,0.00117725716,
572.9569702,0.004773390479,,,572.9569702,0.001416224055,572.9569702,0.00118320121,572.9569702,0.001237973105,
572.0623779,0.005115462933,,,572.0623779,0.00165675173,572.0623779,0.001465441077,572.0623779,0.001344291726,
571.0183716,0.005141551606,,,571.0183716,0.001635548542,571.0183716,0.001430741861,571.0183716,0.001301371725,
569.9741821,0.005131257232,,,569.9741821,0.001641265,569.9741821,0.001503571752,569.9741821,0.001385528012,
568.9296265,0.005216525868,,,568.9296265,0.001798756537,568.9296265,0.00137392024,568.9296265,0.00126344047,
568.0341187,0.005301889963,,,568.0341187,0.001868294436,568.0341187,0.001580544747,568.0341187,0.00129277783,
566.9891357,0.005512174685,,,566.9891357,0.002099474194,566.9891357,0.001784252352,566.9891357,0.001607305254,
565.9438477,0.005570458248,,,565.9438477,0.001965952339,565.9438477,0.001619335031,565.9438477,0.001551577589,
